ID,T_Circularity,rect2_Width,rect2_Height,rect2_Phi,Area,Anisometry,Bulkiness,StructureFactor,Circularity,Compactness,Convexity,Rectangularity,ContLength,Ra,Rb,Phi,outer_Radius,inner_Radius,inner_Width,inner_Height,dist_Mean,dist_Deviation,Roundness,num_Sides,connect_Num,holes_Num,area_Holes,max_Diameter,Orientation,Euler_number,moments_M11,moments_M20,moments_M02,moments_Ia,moments_Ib,moments_M11_invar,moments_M20_invar,moments_M02_invar,moments_Phi1,moments_Phi2,moments_M21,moments_M12,moments_M03,moments_M30,moments_M21_invar,moments_M12_invar,moments_M03_invar,moments_M30_invar,moments_Psi1,moments_Psi2,moments_Psi3,moments_Psi4,sk_rect2_Width,sk_rect2_Height,sk_rect2_Phi,sk_Area,sk_Anisometry,sk_Bulkiness,sk_StructureFactor,sk_Circularity,sk_Compactness,sk_Convexity,sk_Rectangularity,sk_ContLength,sk_Ra,sk_Rb,sk_Phi,sk_outer_Radius,sk_inner_Radius,sk_inner_Width,sk_inner_Height,sk_dist_Mean,sk_dist_Deviation,sk_Roundness,sk_num_Sides,sk_connect_Num,sk_holes_Num,sk_area_Holes,sk_max_Diameter,sk_Orientation,sk_Euler_number,sk_moments_M11,sk_moments_M20,sk_moments_M02,sk_moments_Ia,sk_moments_Ib,sk_moments_M11_invar,sk_moments_M20_invar,sk_moments_M02_invar,sk_moments_Phi1,sk_moments_Phi2,sk_moments_M21,sk_moments_M12,sk_moments_M03,sk_moments_M30,sk_moments_M21_invar,sk_moments_M12_invar,sk_moments_M03_invar,sk_moments_M30_invar,sk_moments_Psi1,sk_moments_Psi2,sk_moments_Psi3,sk_moments_Psi4,Class
1,0.300149,227.406,77.3161,0.0172397,67033,2.97666,1.04134,2.0997,0.366828,1.92287,0.970003,0.949485,1272.69,257.175,86.3973,0.0290954,235.635,76.5,124,434,160.996,55.7404,0.653777,2.32898,1,0,0,470.269,-3.1125,1,-2.86E+07,1.26E+08,1.11E+09,1.11E+09,1.25E+08,-0.00636329,0.0280241,0.246481,0.274505,0.0478855,2.78E+08,1.97E+09,-2.36E+09,-1.28E+08,9.22E-07,6.55E-06,-7.83E-06,-4.24E-07,0.00686692,-3.24E-12,-1.55E-07,8.69E-09,214.112,59.5757,0.170549,596,4.94253,67.3579,331.918,0.00307421,228.187,0.0170237,0.00991313,1307.29,251.314,50.8473,0.0347783,216.251,0.5,0,99,113.297,58.908,0.480057,1.92194,1,0,0,431.502,0.0347783,1,-313636,396144,9.40E+06,9.41E+06,385232,-0.882945,1.11522,26.4621,27.5773,645.581,-2.55E+07,-4.79E+07,5.84E+08,-3.04E+06,-0.120225,-0.226413,2.75945,-0.0143788,28.7314,-4504.66,-466.4,119089,OK
1,0.37153,233.486,78.762,0.0173896,64564,2.94254,1.0248,2.0155,0.32259,1.82907,0.963067,0.874642,1218.19,248.943,84.6014,0.0131607,236.075,78.5,144,336,157.562,54.9709,0.651116,2.32057,1,0,0,469.847,-3.12843,1,-1.16E+07,1.16E+08,1.00E+09,1.00E+09,1.16E+08,-0.00279305,0.0277511,0.239929,0.267681,0.0450508,1.87E+09,5.01E+08,-9.73E+09,-1.12E+08,6.94E-06,1.86E-06,-3.61E-05,-4.16E-07,0.00665051,-2.08E-10,-1.21E-06,6.54E-08,221.859,66.0668,-0.0880074,591,5.89641,64.8623,381.455,0.002679,227.394,0.0171523,0.00491763,1299.54,268.231,45.4905,0.0597172,225.696,0.5,73,0,119.888,63.2269,0.472619,1.90909,1,0,0,447.946,-3.08188,1,-615088,342527,1.06E+07,1.06E+07,305752,-1.76101,0.980663,30.3295,31.3102,873.759,3.76E+07,5.58E+07,-6.17E+08,-7.31E+06,0.182303,0.270261,-2.9903,-0.0354014,26.6419,-35848.3,-1066.59,233894,OK
1,0.312601,229.403,78.2816,0.0184311,67854,2.98721,1.04304,2.1158,0.371606,1.93675,0.960493,0.952131,1285.08,259.416,86.8422,0.00330851,236.297,76.5,128,436,163.004,56.6786,0.652287,2.32426,1,0,0,471.594,-3.13828,1,-3.35E+06,1.28E+08,1.14E+09,1.14E+09,1.28E+08,-0.000728401,0.0277884,0.247945,0.275733,0.048471,3.13E+08,-1.22E+09,-1.92E+09,5.98E+07,1.00E-06,-3.91E-06,-6.14E-06,1.91E-07,0.00688947,-6.56E-13,-6.97E-08,3.91E-09,215.036,71.7651,0.036929,639,5.71291,71.9112,409.822,0.00346711,251.835,0.0138859,0.00932151,1422.05,289.07,50.5994,0.0834705,217.514,0.5,0,104,131.153,64.662,0.506975,1.97082,1,0,0,432.759,0.0834705,1,-1.08E+06,498954,1.33E+07,1.33E+07,409007,-2.63295,1.22197,32.4719,33.6939,1004.29,-5.95E+06,-1.29E+08,5.32E+08,-3.12E+06,-0.0228142,-0.494374,2.04074,-0.0119568,32.7471,3081.58,-175.37,75372.3,OK
1,0.313713,231.335,77.2961,0.019415,66030,3.00659,1.03625,2.11559,0.353085,1.9984,0.962298,0.935043,1287.71,255.897,85.1121,0.030288,236.286,76.5,123,422,161.405,56.2099,0.651747,2.32256,1,0,0,471.573,-3.1113,1,-2.91E+07,1.20E+08,1.08E+09,1.08E+09,1.20E+08,-0.00667452,0.0276294,0.247729,0.275358,0.0486218,7.06E+08,1.77E+09,-4.41E+09,-1.54E+08,2.45E-06,6.16E-06,-1.53E-05,-5.35E-07,0.00680005,-1.20E-11,-2.93E-07,1.62E-08,221.949,61.9758,0.180325,771,5.69564,60.2153,341.964,0.00429105,297.17,0.0181437,0.0122942,1696.82,290.119,50.9371,0.0830295,223.321,0.5,71,0,134.847,57.9067,0.570576,2.10369,1,0,0,444.731,0.0830295,1,-1.30E+06,608255,1.61E+07,1.62E+07,500107,-2.18613,1.02324,27.1103,28.1335,699.652,-2.02E+06,-1.13E+08,3.68E+08,-3.31E+06,-0.00440737,-0.246566,0.801939,-0.00722605,22.9612,297.706,-25.5141,9960.41,OK
1,0.367053,234.636,78.7808,0.0344691,64858,2.9602,1.02407,2.03143,0.322829,1.87849,0.962713,0.880923,1237.35,250.167,84.5105,0.0208285,236.739,77.5,140,342,158.001,55.2271,0.650464,2.31853,1,0,0,471.339,-3.12076,1,-1.87E+07,1.16E+08,1.01E+09,1.01E+09,1.16E+08,-0.00444986,0.0276221,0.241141,0.268763,0.0456695,1.88E+09,-1.42E+08,-9.85E+09,-1.07E+08,6.88E-06,-5.20E-07,-3.61E-05,-3.93E-07,0.00664103,-1.96E-10,-1.18E-06,6.33E-08,226.618,65.7808,-0.111777,675,5.35469,62.1407,331.744,0.0029009,251.982,0.01771,0.00329572,1461.98,267.382,49.9342,0.0519479,227.525,0.5,73,0,119.391,64.0875,0.463215,1.89322,1,0,0,453.749,-3.08964,1,-603778,452158,1.20E+07,1.21E+07,420765,-1.32516,0.992391,26.41,27.4024,653.081,4.55E+07,3.79E+07,-8.65E+08,-9.14E+06,0.147805,0.123287,-2.8133,-0.0297069,24.453,-18092,-685.006,135998,OK
1,0.310138,229.652,77.3098,-0.0246863,66496,3.04137,1.0389,2.15968,0.353335,2.37918,0.955046,0.924687,1409.99,258.609,85.0305,-0.0460114,236.508,76.5,118,422,165.553,57.1004,0.655092,2.33317,1,0,0,472.017,-0.0460114,1,4.56E+07,1.22E+08,1.11E+09,1.11E+09,1.20E+08,0.0103038,0.0276572,0.250965,0.278622,0.0502909,-6.89E+08,2.15E+09,5.17E+09,-2.23E+08,-2.34E-06,7.32E-06,1.76E-05,-7.57E-07,0.00683482,-1.84E-11,-3.61E-07,1.99E-08,212.152,69.9364,-0.0283612,760,4.66072,64.1842,298.144,0.00351231,294.08,0.0145977,0.0145777,1675.89,269.012,57.7191,0.058547,221.478,0.5,72,0,121.661,63.1088,0.481274,1.92407,1,0,0,441.956,-3.08305,1,-766199,677894,1.37E+07,1.37E+07,632984,-1.32652,1.17364,23.7274,24.901,515.71,3.28E+07,7.72E+07,-6.69E+08,-4.06E+06,0.0748091,0.175931,-1.52426,-0.00924168,26.0877,-2418.7,-258.623,54949.1,OK
1,0.324316,230.565,78.844,-0.0129863,64640,2.97667,1.02854,2.06161,0.328606,1.83001,0.959264,0.87159,1219.22,250.987,84.3179,-0.0288538,235.66,77.5,140,339,157.311,55.9781,0.644158,2.29902,1,0,0,470.278,-0.0288538,1,2.60E+07,1.16E+08,1.02E+09,1.02E+09,1.15E+08,0.00623296,0.0276765,0.243456,0.271132,0.046716,-1.83E+09,7.95E+08,1.04E+10,-2.00E+08,-6.76E-06,2.95E-06,3.86E-05,-7.40E-07,0.00669914,-2.16E-10,-1.23E-06,6.68E-08,212.038,63.1963,0.0188657,539,5.43318,59.8297,324.066,0.0035083,210.145,0.0152518,0.00958041,1193.05,236.159,43.4661,-0.0174303,212.538,0.5,73,0,101.613,63.0869,0.379147,1.76746,1,0,0,424.075,-0.0174303,1,126529,256789,7.51E+06,7.52E+06,254584,0.435524,0.883893,25.8603,26.7442,624.58,-4.83E+06,1.02E+08,8.07E+07,-6.07E+06,-0.0308395,0.654404,0.515613,-0.038749,22.6681,-13578.8,-578.354,107302,OK
1,0.316713,236.163,77.8274,-0.0219745,67242,3.04922,1.03941,2.16938,0.351892,2.47681,0.947017,0.925589,1446.68,260.455,85.417,-0.00250479,238.287,76.5,126,422,168.047,57.8553,0.655719,2.33518,1,0,0,475.395,-0.00250479,1,2.55E+06,1.23E+08,1.14E+09,1.14E+09,1.23E+08,0.000563789,0.0271275,0.25221,0.279338,0.0506635,-9.36E+08,-2.57E+09,6.04E+09,8.77E+07,-3.08E-06,-8.47E-06,1.99E-05,2.89E-07,0.00684152,-2.68E-11,-4.44E-07,2.48E-08,223.068,72.1495,-0.235427,790,4.49397,59.7049,267.312,0.00313784,300.474,0.0175704,0.0146987,1727.12,259.752,57.8001,-0.123694,224.254,0.5,72,0,116.881,62.5058,0.465218,1.89656,1,0,0,447.509,3.0179,1,1.55E+06,852617,1.31E+07,1.33E+07,659817,2.48475,1.36615,21.0427,22.4088,411.861,3.59E+07,-8.17E+07,-9.89E+08,5.92E+06,0.0728339,-0.165617,-2.0066,0.0120132,22.5735,-3070.27,-284.955,52982.4,OK
1,0.307433,228.285,77.4694,-0.0236642,65946,3.02708,1.03917,2.14563,0.35032,2.32115,0.957668,0.927609,1386.92,256.965,84.8887,-0.0445441,236.137,76.5,118,420,164.005,56.4348,0.655896,2.33575,1,0,0,471.275,-0.0445441,1,4.31E+07,1.21E+08,1.09E+09,1.09E+09,1.19E+08,0.00992034,0.0277604,0.249879,0.27764,0.0497305,-8.02E+08,1.97E+09,5.32E+09,-2.20E+08,-2.80E-06,6.88E-06,1.86E-05,-7.68E-07,0.00683833,-2.25E-11,-4.01E-07,2.22E-08,209.84,58.6977,-0.108271,777,4.48115,54.3805,242.688,0.00348171,291.367,0.0204889,0.0131859,1686.69,245.5,54.7851,0.00453688,214.249,0.5,72,0,111.008,58.0114,0.477413,1.91734,1,0,0,426.523,-3.13706,1,-50469.9,583252,1.17E+07,1.17E+07,583023,-0.0835969,0.966083,19.3917,20.3577,339.53,2.53E+07,-6.29E+07,-7.78E+08,-4.55E+06,0.0538591,-0.134026,-1.65901,-0.00969428,18.727,-87.2457,-103.173,17167,OK
1,0.349302,232.509,79.0141,-0.0172397,65745,3.01476,1.03042,2.10647,0.333528,1.95371,0.955374,0.886051,1270.48,254.971,84.5741,-0.00441793,237.281,77.5,140,340,160.193,57.1605,0.643178,2.29604,1,0,0,473.561,-0.00441793,1,4.20E+06,1.18E+08,1.07E+09,1.07E+09,1.18E+08,0.000971959,0.0272032,0.247201,0.274404,0.0484026,-1.70E+09,-1.67E+09,1.04E+10,5.34E+07,-5.99E-06,-5.87E-06,3.65E-05,1.88E-07,0.00672371,-1.59E-10,-1.05E-06,5.72E-08,213.636,56.9995,-0.159205,680,5.22174,58.8138,306.11,0.00323453,258.15,0.0174042,0.0172044,1485.23,257.826,49.3755,-0.0581207,215.349,0.5,74,0,113.867,64.3058,0.435256,1.84835,1,0,0,428.065,3.08347,1,631287,451182,1.13E+07,1.13E+07,414450,1.36524,0.975739,24.3596,25.3353,554.261,2.54E+07,-1.42E+07,-5.38E+08,-1.21E+06,0.0806426,-0.045215,-1.71086,-0.00383421,21.9047,-1591.06,-207.225,38827.4,OK
